Date,Label,overall_label,overall_score,overall_rationale
2016-06-20,1,Neutral,0.0,(no rationale returned)
2016-06-21,1,Neutral,0.0,(no rationale returned)
2016-06-22,0,Neutral,0.0,(no rationale returned)
2016-06-23,1,Neutral,0.0,(no rationale returned)
2016-06-24,0,Neutral,0.0,(no rationale returned)
2016-06-27,0,Neutral,0.0,(no rationale returned)
2016-06-28,1,Neutral,0.0,(no rationale returned)
2016-06-29,1,Neutral,0.0,(no rationale returned)
2016-06-30,1,Neutral,0.0,(no rationale returned)
2016-07-01,1,Neutral,0.0,(no rationale returned)
