Date,Label,sentiments_json
2016-06-20,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-21,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-22,0,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-23,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-24,0,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-27,0,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-28,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-29,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-06-30,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
2016-07-01,1,"[{""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}, {""label"": ""Neutral"", ""score"": 0.0, ""rationale"": ""(no rationale returned)""}]"
