Date,Label,llm_trade_action,llm_trade_confidence,llm_trade_reason
2016-05-20,1,Hold,0.5,(no reasoning returned)
2016-05-23,0,Hold,0.5,(no reasoning returned)
2016-05-24,1,Hold,0.5,(no reasoning returned)
2016-05-25,1,Hold,0.5,(no reasoning returned)
2016-05-26,0,Hold,0.5,(no reasoning returned)
2016-05-27,1,Hold,0.5,(no reasoning returned)
2016-05-31,0,Hold,0.5,(no reasoning returned)
2016-06-01,1,Hold,0.5,(no reasoning returned)
2016-06-02,1,Hold,0.5,(no reasoning returned)
2016-06-03,0,Hold,0.5,(no reasoning returned)
2016-06-06,1,Hold,0.5,(no reasoning returned)
2016-06-07,1,Hold,0.5,(no reasoning returned)
2016-06-08,1,Hold,0.5,(no reasoning returned)
2016-06-09,0,Hold,0.5,(no reasoning returned)
2016-06-10,0,Hold,0.5,(no reasoning returned)
2016-06-13,0,Hold,0.5,(no reasoning returned)
2016-06-14,0,Hold,0.5,(no reasoning returned)
2016-06-15,0,Hold,0.5,(no reasoning returned)
2016-06-16,1,Hold,0.5,(no reasoning returned)
2016-06-17,0,Hold,0.5,(no reasoning returned)
2016-06-20,1,Hold,0.5,(no reasoning returned)
2016-06-21,1,Hold,0.5,(no reasoning returned)
2016-06-22,0,Hold,0.5,(no reasoning returned)
2016-06-23,1,Hold,0.5,(no reasoning returned)
2016-06-24,0,Hold,0.5,(no reasoning returned)
2016-06-27,0,Hold,0.5,(no reasoning returned)
2016-06-28,1,Hold,0.5,(no reasoning returned)
2016-06-29,1,Hold,0.5,(no reasoning returned)
2016-06-30,1,Hold,0.5,(no reasoning returned)
2016-07-01,1,Hold,0.5,(no reasoning returned)
